Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772968451,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772968452,5,,Aggregated,0.000000,0.000000,76,100,100,120,130,130,130,130,130,130,130,10,3,62,74.01417999935802,31.428200018126518,127.44159999419935,7266.0
1772968453,10,,Aggregated,0.000000,0.000000,62,120,130,230,320,350,370,370,370,370,370,30,23,51,107.92307666658114,9.317099989857525,371.72120000468567,6133.466666666666
1772968454,15,,Aggregated,10.000000,3.000000,120,160,230,270,320,350,370,370,370,370,370,55,48,120.0,140.14161090863954,9.317099989857525,371.72120000468567,4746.909090909091
1772968455,20,,Aggregated,14.000000,10.500000,140,170,270,300,430,580,2900,3100,3100,3100,3100,82,75,140.0,238.11542195063538,9.061999997356907,3106.059000012465,4560.731707317073
1772968456,20,,Aggregated,17.000000,14.666667,100,160,270,320,530,630,770,2900,3100,3100,3100,142,133,93,206.62442183008903,7.680400012759492,3106.059000012465,2736.760563380282
1772968457,20,,Aggregated,19.500000,17.750000,41,120,160,200,430,580,710,2900,5500,5500,5500,201,191,41,178.3468134316676,6.949500006157905,5513.353899994399,2004.676616915423
1772968458,20,,Aggregated,26.000000,24.200000,33,76,140,160,340,570,690,2900,5500,5500,5500,257,247,33,150.12186069953336,6.949500006157905,5513.353899994399,1621.0272373540856
1772968459,20,,Aggregated,31.833333,30.166667,27,63,120,140,300,530,660,770,5500,5500,5500,317,304,27,128.16177507815075,6.231900013517588,5513.353899994399,1472.378548895899
1772968460,20,,Aggregated,35.428571,34.000000,27,62,120,140,270,460,650,770,5500,5500,5500,370,356,27,118.05445135097536,6.231900013517588,5513.353899994399,1392.3675675675677
