Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772968300,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772968301,20,,Aggregated,0.000000,0.000000,310,310,730,730,730,730,730,730,730,730,730,4,3,290.0,401.64742499473505,272.63809999567457,734.5007999974769,35735.0
1772968304,60,,Aggregated,0.000000,0.000000,1200,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000,23,10,1200.0,1348.2292260817737,272.63809999567457,1962.1776000130922,18711.565217391304
1772968305,80,,Aggregated,7.666667,3.333333,1200,1900,2000,2000,2700,2900,3000,3000,3000,3000,3000,42,25,1200.0,1432.5381571397884,272.63809999567457,2965.92660000897,13732.833333333334
1772968306,100,,Aggregated,5.750000,2.500000,1800,2000,2400,2500,2900,4700,4700,4900,4900,4900,4900,74,57,1800.0,1789.7364270257467,272.63809999567457,4894.203800009564,10271.283783783783
1772968307,120,,Aggregated,7.200000,4.000000,1800,2400,2700,2800,4500,4900,5400,5500,6500,6500,6500,108,91,1800.0,1957.6028064804161,209.26699999836273,6499.184200016316,8402.805555555555
1772968309,140,,Aggregated,10.571429,8.142857,2100,2600,2800,2900,3100,4900,5400,5500,6500,6500,6500,136,119,2000.0,2115.3980389700496,209.26699999836273,6499.184200016316,6679.992647058823
1772968310,160,,Aggregated,13.750000,11.625000,2200,2500,2700,2800,3000,4700,5400,5500,6500,6500,6500,162,145,2200.0,2146.9800802464038,209.26699999836273,6499.184200016316,5613.919753086419
1772968311,180,,Aggregated,13.750000,11.625000,2200,2500,2700,2900,3500,4700,5400,5500,6500,6500,6500,165,148,2200.0,2175.8825078784757,209.26699999836273,6499.184200016316,5516.284848484848
1772968312,200,,Aggregated,15.800000,14.100000,2200,2500,2800,3000,4700,6000,8300,10000,11000,11000,11000,217,198,2200.0,2515.184232257634,209.26699999836273,10929.756899975473,5195.7188940092165
1772968313,200,,Aggregated,16.500000,14.800000,2400,2700,3000,4700,6300,7200,10000,11000,12000,12000,12000,254,232,2400.0,2978.1069720469186,209.26699999836273,11992.261700012023,5026.751968503937
1772968314,200,,Aggregated,18.000000,16.500000,2400,3000,4700,5300,6500,7600,10000,11000,12000,12000,12000,278,251,2400.0,3248.7868388487436,209.26699999836273,11992.261700012023,5252.255395683454
1772968315,200,,Aggregated,20.700000,20.000000,2900,4500,5100,5300,6300,7300,8800,11000,12000,12000,12000,364,332,2800.0,3534.913934065716,209.26699999836273,11992.261700012023,5921.4807692307695
1772968316,200,,Aggregated,23.700000,22.800000,3000,4200,5100,5200,6200,7300,8700,10000,12000,12000,12000,417,379,3000.0,3569.926590886949,209.26699999836273,11992.261700012023,5455.2781774580335
1772968317,200,,Aggregated,26.100000,24.600000,3100,4000,5000,5200,6100,7200,8700,10000,12000,12000,12000,445,406,3100.0,3565.480846066873,209.26699999836273,11992.261700012023,5127.377528089888
1772968318,200,,Aggregated,33.900000,32.200000,3200,4000,5000,5100,6100,7200,8700,10000,12000,12000,12000,450,411,3200.0,3570.811978443849,209.26699999836273,11992.261700012023,5073.1177777777775
1772968319,200,,Aggregated,36.300000,34.100000,3300,4100,5000,5100,6000,7200,8300,10000,12000,12000,12000,459,419,3300.0,3587.4141006530003,209.26699999836273,11992.261700012023,5055.771241830065
